Article Preview Page URL;Scopus ID;Authors;Title;Publication Name;Abstract;Volume;Date;Electronic ID;DOI;Citations
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197125619&origin=inward;SCOPUS_ID:85197125619;de Oliveira F.M.;Digital and Precision Technologies in Dairy Cattle Farming: A Bibliometric Analysis;Animals;null;14;2024-06-01;2-s2.0-85197125619;10.3390/ani14121832;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199661849&origin=inward;SCOPUS_ID:85199661849;Al-Rawas G.;A Critical Review of Emerging Technologies for Flash Flood Prediction: Examining Artificial Intelligence, Machine Learning, Internet of Things, Cloud Computing, and Robotics Techniques;Water (Switzerland);null;16;2024-07-01;2-s2.0-85199661849;10.3390/w16142069;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194479415&origin=inward;SCOPUS_ID:85194479415;Hu Y.;Applying Machine Learning to Earthquake Engineering: A Scientometric Analysis of World Research;Buildings;null;14;2024-05-01;2-s2.0-85194479415;10.3390/buildings14051393;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199567386&origin=inward;SCOPUS_ID:85199567386;Silva C.;Artificial Intelligence at the Interface between Cultural Heritage and Photography: A Systematic Literature Review;Heritage;null;7;2024-07-01;2-s2.0-85199567386;10.3390/heritage7070180;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190473907&origin=inward;SCOPUS_ID:85190473907;Maita K.C.;The usefulness of artificial intelligence in breast reconstruction: a systematic review;Breast Cancer;null;31;2024-07-01;2-s2.0-85190473907;10.1007/s12282-024-01582-6;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199175935&origin=inward;SCOPUS_ID:85199175935;Hosseini F.;Applications of artificial intelligence in diagnosis of uncommon cystoid macular edema using optical coherence tomography imaging: A systematic review;Survey of Ophthalmology;null;69;2024-11-01;2-s2.0-85199175935;10.1016/j.survophthal.2024.06.005;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200346516&origin=inward;SCOPUS_ID:85200346516;Almansour M.;Generative artificial intelligence and the personalization of health professional education A narrative review;Medicine (United States);null;103;2024-08-02;2-s2.0-85200346516;10.1097/MD.0000000000038955;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193976442&origin=inward;SCOPUS_ID:85193976442;Olorunfemi B.O.;Advancements in machine visions for fruit sorting and grading: A bibliometric analysis, systematic review, and future research directions;Journal of Agriculture and Food Research;null;16;2024-06-01;2-s2.0-85193976442;10.1016/j.jafr.2024.101154;2
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189859577&origin=inward;SCOPUS_ID:85189859577;Cardenas J.A.;A systematic review of robotic efficacy in coral reef monitoring techniques;Marine Pollution Bulletin;null;202;2024-05-01;2-s2.0-85189859577;10.1016/j.marpolbul.2024.116273;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191443282&origin=inward;SCOPUS_ID:85191443282;Bonkra A.;Lung Disease Diagnosis Using Machine Learning from a Bibliometric Perspective;Convergence of Blockchain and Internet of Things in Healthcare;null;null;2024-01-01;2-s2.0-85191443282;10.1201/9781003466949-1;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85198546596&origin=inward;SCOPUS_ID:85198546596;Kulkarni A.D.;A Comprehensive Literature Review on Gesture-Based Adaptive Systems for Early Detection of ADHD in Children: Technical Trends and Research Directions;2024 MIT Art, Design and Technology School of Computing International Conference, MITADTSoCiCon 2024;null;null;2024-01-01;2-s2.0-85198546596;10.1109/MITADTSoCiCon60330.2024.10574978;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184994773&origin=inward;SCOPUS_ID:85184994773;Liu X.;Artificial intelligence image-based prediction models in IBD exhibit high risk of bias: A systematic review;Computers in Biology and Medicine;null;171;2024-03-01;2-s2.0-85184994773;10.1016/j.compbiomed.2024.108093;4
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196532399&origin=inward;SCOPUS_ID:85196532399;Veeresh;A Survey on Underwater Image Segmentation and Image quality Enhancements using Deep Learning Models;CEUR Workshop Proceedings;null;3706;2024-01-01;2-s2.0-85196532399;null;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197108145&origin=inward;SCOPUS_ID:85197108145;Imad H.;Recent Advances in SAR Image Analysis Using Deep Learning Approaches: Examples of Speckle Denoising and Change Detection;2024 4th International Conference on Innovative Research in Applied Science, Engineering and Technology, IRASET 2024;null;null;2024-01-01;2-s2.0-85197108145;10.1109/IRASET60544.2024.10549456;0
https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187242401&origin=inward;SCOPUS_ID:85187242401;Hermosilla P.;Skin Cancer Detection and Classification Using Neural Network Algorithms: A Systematic Review;Diagnostics;null;14;2024-02-01;2-s2.0-85187242401;10.3390/diagnostics14040454;3
